FILE_ID,POSITIVE_SCORE,NEGATIVE_SCORE,POLARITY_SCORE,SUBJECTIVITY_SCORE,AVERAGE_SENTENCE_LENGTH,PERCENTAGE_OF_COMPLEX_WORDS,FOG_INDEX,AVERAGE_NUMBER_OF_WORDS_PER_SENTENCE,COMPLEX_WORD_COUNT,CLEAN_WORDS_COUNT,SYLLABLE_PER_WORD,COUNT_OF_PERSONAL_PRONOUN,AVERAGE_WORD_LENGTH,URL
62.txt,19,20,-0.025641025,0.230769229,22.47058824,0.167958656,9.055418757,22.76470588,65,169,6.136950904,0,5.129198966,62
63.txt,31,29,0.033333333,0.128479657,21.92,0.14921466,8.827685864,22.92,171,467,5.991273997,4,4.980802792,63
64.txt,44,46,-0.022222222,0.289389067,23.8,0.233118971,9.613247588,24.88,145,311,6.635048232,1,5.599678457,64
65.txt,16,20,-0.111111108,0.236842104,13.4137931,0.167088608,5.432352684,13.62068966,66,152,6.296202532,0,5.288607595,65
66.txt,12,7,0.263157881,0.240506326,16.4,0.226190476,6.65047619,16.8,38,79,6.553571429,2,5.529761905,66
67.txt,34,63,-0.298969069,0.313915857,14.70909091,0.13810111,5.938876808,14.74545455,112,309,5.914919852,19,4.911220715,67
68.txt,7,10,-0.176470578,0.220779218,18.5,0.136842105,7.454736842,19,26,77,6.026315789,1,5,68
69.txt,64,76,-0.085714285,0.24137931,16.28985507,0.248500428,6.6153422,16.91304348,290,580,6.820051414,0,5.806341045,69
70.txt,19,29,-0.208333329,0.23076923,17.22580645,0.163873371,6.955871929,17.32258065,88,208,6.206703911,10,5.201117318,70
71.txt,41,69,-0.254545452,0.260047281,21.1,0.162464986,8.504985994,21.42,174,423,5.944911298,7,4.933706816,71
72.txt,51,108,-0.358490564,0.21031746,22.90540541,0.216310006,9.248686164,23.36486486,374,756,6.507229612,16,5.503759398,72
73.txt,80,80,0,0.259319286,24.04166667,0.134090909,9.67030303,24.44444444,236,617,5.830113636,19,4.826136364,73
74.txt,46,45,0.010989011,0.149425287,21,0.148224044,8.459289617,21.2173913,217,609,5.996584699,18,4.993852459,74
75.txt,37,42,-0.063291138,0.248427672,13.04477612,0.157303371,5.280831796,13.28358209,140,318,5.714606742,1,4.696629213,75
76.txt,37,44,-0.086419752,0.171974522,24.39655172,0.130801688,9.810941365,24.51724138,186,471,5.700421941,4,4.694092827,76
77.txt,28,33,-0.081967212,0.371951217,27.76470588,0.174369748,11.17563025,28,83,164,5.819327731,8,4.81302521,77
78.txt,71,64,0.051851851,0.193133047,23.04411765,0.199499687,9.297446934,23.51470588,319,699,6.285803627,8,5.283302064,78
